coreid,type,identifier,license
8714c54d-b13d-43f6-8f7d-bd50be197e7c,,https://zenodo.org/record/2707828/files/CAM040382_d.JPG,
64b75c32-927d-4578-8037-59c1b0b84f06,,https://zenodo.org/record/2707828/files/CAM040527_v.JPG,
62e9fd8a-4e95-45dc-ac2a-d88fe8c4f427,,https://zenodo.org/record/2707828/files/CAM040162_d.JPG,
0bec16f8-d396-4720-b518-365f29869a4a,,https://zenodo.org/record/2707828/files/CAM040646_v.JPG,
6afbfcbb-5d7a-4681-84c1-a475a02b1e4f,,https://zenodo.org/record/2677821/files/CAM000125_v.JPG,
5ba5c656-2c23-4d84-9494-e332c5685b55,,https://zenodo.org/record/2714333/files/CAM040858_d.JPG,
e0c972a6-dbf6-4858-bddb-d8f74e9c1850,,https://zenodo.org/record/2714333/files/CAM041185_d.JPG,
9a21a91f-186a-420a-bf60-e579efcca606,,https://zenodo.org/record/2714333/files/CAM040889_v.JPG,
dd8192b5-de3e-4588-a4f0-c9eba8efbafd,,https://zenodo.org/record/2707828/files/CAM040653_d.JPG,
3acc0cbf-1f86-4078-adaf-ec4a6c34e75a,,https://zenodo.org/record/2686762/files/CAM008969_d.JPG,
4ba5f3cc-b1e0-4550-bc24-0dd06df20da2,,https://zenodo.org/record/2677821/files/CAM000261_v.JPG,
6d7de836-41a5-48f2-9f1c-50a2d8c3a3f4,,https://zenodo.org/record/2686762/files/CAM008652_d.JPG,
f6652802-f67d-4c7e-96c3-1cd19779997d,,https://zenodo.org/record/2677821/files/CAM000067_d.JPG,
bc95db52-896c-4508-88c1-cdf83b104a7f,,https://zenodo.org/record/2677821/files/CAM000391_v.JPG,
fd872d73-9e22-405f-8b1a-a3e22eed29bc,,https://zenodo.org/record/2686762/files/CAM008642_v.JPG,
92d7e1a8-ef55-4b24-9383-cd98787e00f7,,https://zenodo.org/record/2684906/files/CAM008224_v.JPG,
2bb98447-762f-4d9a-9cde-18beec422620,,https://zenodo.org/record/2702457/files/CAM021207_v.JPG,
918c0329-a0ee-4e68-a87b-b3f7166686be,,https://zenodo.org/record/2686762/files/CAM008636_v.JPG,
407fecfc-fe65-44ff-a134-d5aa39dbc62a,,https://zenodo.org/record/2714333/files/CAM040737_v.JPG,
396b0342-e47e-439f-a73b-a74a49b0618e,,https://zenodo.org/record/2684906/files/CAM008327_v.JPG,
c459e4c0-5f7f-4cc3-8f1b-69abc25d5dda,,https://zenodo.org/record/2714333/files/CAM040877_d.JPG,
