id,occurrenceID,catalogNumber,datasetName,recordNumber,otherCatalogNumbers,basisOfRecord,eventDate,locality,country,decimalLatitude,decimalLongitude,geodeticDatum,year,sex,lifeStage,recordedBy,individualCount,taxonId,scientificName,scientificNameAuthorship,taxonRank,genus,family,order,class,kingdom,coordinateUncertaintyInMeters,dynamicProperties
0e35aff6-d427-407a-a8bb-736a89e92bc6,0e35aff6-d427-407a-a8bb-736a89e92bc6,CAM040266,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2017-01-30,Km 119 Baeza - Lago Agrio,Ecuador,-0.178,-77.68167,4326,2017,Male,,,1,,Heliconius melpomene ssp. malleti,,Subspecies,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0e37149f-48c6-41a9-9230-369578b361db,0e37149f-48c6-41a9-9230-369578b361db,CAM015507,Heliconiine Butterfly Collection Records from University of Cambridge,,23Jf,PreservedSpecimen,,Gamboa_insectaries,Panamá,9.12,-79.702,4326,,,,,0,1907711,Agraulis vanillae,,Species,Agraulis,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0e4b01c1-876e-4bd9-9047-b35bf420b1cc,0e4b01c1-876e-4bd9-9047-b35bf420b1cc,CAM120499,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2005-11-23,Anangu Boca del Rio ECD OR,Ecuador,-0.5287,-76.3948,4326,2005,Female,,,1,,Melinaea menophilus ssp. menophilus,,Subspecies,Melinaea,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0e5d06b1-d65c-42b6-9fba-1ce64e94a2f1,0e5d06b1-d65c-42b6-9fba-1ce64e94a2f1,CAM041337,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,,Mina before Puerto Quito 3,Ecuador,0.13332,-79.14056,4326,,Male,,,1,,Heliconius erato ssp. cyrbia,,Subspecies,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0e6bdecf-0cc5-4483-b119-58af03440337,0e6bdecf-0cc5-4483-b119-58af03440337,CAM008754,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2002-08-28,"Puente Aguas Verdes, above Rioja ,",Peru,-5.6846,-77.6576,4326,2002,Unknown,,,1,,Heliconius melpomene ssp. amaryllis,,Subspecies,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0e73b6fa-d387-401f-b0f3-57a9a0215736,0e73b6fa-d387-401f-b0f3-57a9a0215736,CAM008747,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2002-08-27,"Puente Rio Serranoyacu, above Rioja,",Peru,-5.6745,-77.6748,4326,2002,Unknown,,,1,,Heliconius melpomene ssp. amaryllis,,Subspecies,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0e7ab4e7-fdaf-4367-b910-3dde309b7b47,0e7ab4e7-fdaf-4367-b910-3dde309b7b47,CAM009048,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,,"Helechaux, near Popayan",Colombia,2.5133,-76.5942,4326,,Male,,,1,,Heliconius cydno ssp. weymeri,,Subspecies,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0e844348-3f86-4f53-b840-adfa38866f21,0e844348-3f86-4f53-b840-adfa38866f21,CAM021191,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2014-03-05,"Bakhuis-Nickerie Rd, Sipaliwini, Suriname",Suriname,4.72,-56.81,4326,2014,Female,,,1,5131626,Eueides lybia,,Species,Eueides,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0e8e8c9a-aca1-44c7-a210-455dda96e44e,0e8e8c9a-aca1-44c7-a210-455dda96e44e,CAM000340,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,1998-05-25,"Turnoff to Eskol from Roura,",French Guiana,4.7175,-52.331,4326,1998,Female,,,1,,Heliconius erato ssp. hydara x erato,,Subspecies,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
0e9589f9-5d11-4310-ab4c-2f6bc56de114,0e9589f9-5d11-4310-ab4c-2f6bc56de114,CAM008442,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2001-09-03,"Quebrada Hornito Trail, Fortuna,",Panamá,8.6928,-82.2245,4326,2001,Female,,,1,1902381,Oleria rubescens,,Species,Oleria,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
